# x y Cp Cf
9.089579e-01 4.787562e-03 -1.048795e-01 1.816708e-03
9.256657e-01 3.563760e-03 -1.137929e-01 1.797688e-03
9.400153e-01 2.602854e-03 -1.209717e-01 1.784823e-03
9.521861e-01 1.863994e-03 -1.265876e-01 1.777528e-03
9.623778e-01 1.307767e-03 -1.308224e-01 1.775237e-03
9.708011e-01 8.979530e-04 -1.338646e-01 1.777351e-03
9.776696e-01 6.026062e-04 -1.359035e-01 1.783195e-03
9.831931e-01 3.945550e-04 -1.371214e-01 1.792013e-03
9.875714e-01 2.514464e-04 -1.376848e-01 1.802952e-03
9.909902e-01 1.554565e-04 -1.377339e-01 1.814848e-03
9.936182e-01 9.279287e-05 -1.373757e-01 1.825670e-03
9.956045e-01 5.309088e-05 -1.366827e-01 1.832243e-03
9.970788e-01 2.878491e-05 -1.357115e-01 1.832779e-03
9.981503e-01 1.451075e-05 -1.345744e-01 1.835363e-03
9.989091e-01 6.574488e-06 -1.335824e-01 1.870111e-03
9.994269e-01 2.504078e-06 -1.334831e-01 1.990311e-03
9.997582e-01 6.863944e-07 -1.356345e-01 2.239582e-03
9.999415e-01 8.167467e-08 -1.446206e-01 2.576692e-03
1.000000e+00 -0.000000e+00 -1.123929e-01 4.407104e-16
9.999415e-01 -8.167467e-08 -1.446206e-01 2.576692e-03
9.997582e-01 -6.863944e-07 -1.356345e-01 2.239582e-03
9.994269e-01 -2.504078e-06 -1.334831e-01 1.990311e-03
9.989091e-01 -6.574488e-06 -1.335824e-01 1.870111e-03
9.981503e-01 -1.451075e-05 -1.345744e-01 1.835363e-03
9.970788e-01 -2.878491e-05 -1.357115e-01 1.832779e-03
9.956045e-01 -5.309088e-05 -1.366827e-01 1.832243e-03
9.936182e-01 -9.279287e-05 -1.373757e-01 1.825670e-03
9.909902e-01 -1.554565e-04 -1.377339e-01 1.814848e-03
9.875714e-01 -2.514464e-04 -1.376848e-01 1.802952e-03
9.831931e-01 -3.945550e-04 -1.371214e-01 1.792013e-03
9.776696e-01 -6.026062e-04 -1.359035e-01 1.783195e-03
9.708011e-01 -8.979530e-04 -1.338646e-01 1.777351e-03
9.623778e-01 -1.307767e-03 -1.308224e-01 1.775237e-03
9.521861e-01 -1.863994e-03 -1.265876e-01 1.777528e-03
9.400153e-01 -2.602854e-03 -1.209717e-01 1.784823e-03
9.256657e-01 -3.563760e-03 -1.137929e-01 1.797688e-03
9.089579e-01 -4.787562e-03 -1.048795e-01 1.816708e-03
8.897416e-01 -6.314099e-03 -9.407415e-02 1.842564e-03
8.679059e-01 -8.179092e-03 -8.123700e-02 1.876107e-03
8.433871e-01 -1.041054e-02 -6.625022e-02 1.918460e-03
8.161771e-01 -1.302485e-02 -4.902218e-02 1.971130e-03
7.863282e-01 -1.602314e-02 -2.949702e-02 2.036200e-03
7.539573e-01 -1.938796e-02 -7.651647e-03 2.116936e-03
7.192459e-01 -2.308109e-02 1.646910e-02 2.220231e-03
6.824382e-01 -2.704260e-02 4.293298e-02 2.356039e-03
6.438360e-01 -3.119161e-02 7.156417e-02 2.465743e-03
6.037910e-01 -3.542878e-02 1.020234e-01 2.607229e-03
5.626951e-01 -3.964043e-02 1.341087e-01 2.778098e-03
5.209685e-01 -4.370417e-02 1.675246e-01 2.973246e-03
4.790477e-01 -4.749539e-02 2.018968e-01 3.188943e-03
4.373721e-01 -5.089424e-02 2.367767e-01 3.421157e-03
3.963714e-01 -5.379237e-02 2.716543e-01 3.665029e-03
3.564534e-01 -5.609897e-02 3.059691e-01 3.914758e-03
3.179930e-01 -5.774547e-02 3.391197e-01 4.163980e-03
2.813230e-01 -5.868873e-02 3.704713e-01 4.406482e-03
2.467266e-01 -5.891244e-02 3.993582e-01 4.637030e-03
2.144322e-01 -5.842679e-02 4.250859e-01 4.852046e-03
1.846095e-01 -5.726644e-02 4.469256e-01 5.049965e-03
1.573693e-01 -5.548731e-02 4.640991e-01 5.231128e-03
1.327642e-01 -5.316226e-02 4.757597e-01 5.397106e-03
1.107916e-01 -5.037639e-02 4.809533e-01 5.549498e-03
9.139851e-02 -4.722199e-02 4.785733e-01 5.688184e-03
7.448763e-02 -4.379391e-02 4.673048e-01 5.809070e-03
5.992455e-02 -4.018524e-02 4.455567e-01 5.901231e-03
4.754546e-02 -3.648382e-02 4.114225e-01 5.943468e-03
3.716513e-02 -3.276953e-02 3.626706e-01 5.903051e-03
2.858480e-02 -2.911241e-02 2.968598e-01 5.747369e-03
2.159950e-02 -2.557168e-02 2.116004e-01 5.480707e-03
1.600477e-02 -2.219540e-02 1.050224e-01 5.158237e-03
1.160231e-02 -1.902079e-02 -2.320259e-02 4.809891e-03
8.204610e-03 -1.607500e-02 -1.703248e-01 4.418282e-03
5.638443e-03 -1.337618e-02 -3.293378e-01 3.939033e-03
3.747282e-03 -1.093476e-02 -4.891733e-01 3.282450e-03
2.392642e-03 -8.754819e-03 -6.369336e-01 2.349789e-03
1.454538e-03 -6.835397e-03 -7.615999e-01 1.152120e-03
8.311793e-04 -5.171804e-03 -8.571794e-01 1.484314e-04
4.380745e-04 -3.756789e-03 -9.234234e-01 1.325590e-03
2.067273e-04 -2.581593e-03 -9.644121e-01 1.988443e-03
8.308163e-05 -1.636889e-03 -9.867415e-01 1.542464e-03
2.587685e-05 -9.136052e-04 -9.974994e-01 3.355687e-04
5.050861e-06 -4.036442e-04 -1.002060e+00 2.587250e-04
3.133026e-07 -1.005312e-04 -1.003592e+00 1.243128e-04
3.133026e-07 -1.005312e-04 -1.003592e+00 -1.243128e-04
   
